"id","hhid","adm3","pack","variety_a","variety_b","variety_c","adm1","gender","age","elevation","lon","lat","planting_date","harverst_date","irrigation","fertilization","slope","vigor_best","vigor_worst","size_best","size_worst","pest_resistance_best","pest_resistance_worst","disease_resistance_best","disease_resistance_worst","drought_resistance_best","drought_resistance_worst","yield_best","yield_worst","market_value_best","market_value_worst","taste_best","taste_worst","overall_best","overall_worst","local_vs_var_a","local_vs_var_b","local_vs_var_c"
"honduras_salvador_rojo_2015_132",47531,"El Moral","paquete 206","BRT 103- 182","RS 907-28","Amadeus 77","Sinuapa Ocotepeque","F",30,NA,-89.21310425,14.4200504,"2015-10-10","2016-01-10","No","Yes","plain","B","C","B","C",NA,NA,NA,NA,NA,NA,"B","A","B","A","B","A","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_133",47603,"El Moral","paquete 204","RS 909-35","SJC 730-79","ALS 0532-6","Sinuapa Ocotepeque","F",43,NA,-89.2048645,14.41606028,"2015-10-10","2016-01-06","No","Yes","medium","C","A","C","B",NA,NA,NA,NA,NA,NA,"C","A","C","A","B","A","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_135",47432,"El Moral","paquete 212","RRH 336-28","SRS2-36-34","Amadeus 77","Sinuapa Ocotepeque","M",53,NA,-89.20623779,14.42803042,"2015-10-10","2016-01-14","No","Yes","medium","A","C","A","C",NA,NA,NA,NA,NA,NA,"A","B","A","C","A","C","A","C","Better","Better","Worse"
"honduras_salvador_rojo_2015_14",22349,"San Francisco Cones","paquete 150","RS 909-35","SJC 730-79","BRT 103- 182","Sensenti","F",33,NA,-88.92608643,14.49850815,"2015-09-20","2015-11-30","No","Yes","medium","A","C","A","C",NA,NA,"A","C",NA,NA,"A","C","A","C",NA,NA,"A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_142",33590,"Rodeo","paquete 60","Seda","ALS 0532-6","Amadeus 77","Masahuat","F",56,NA,NA,NA,"2015-09-25","2015-12-10","No","Yes","medium","C","A","C","A",NA,NA,"C","B",NA,NA,"C","B","B","C","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_143",33608,"Rodeo","paquete 61","SRS2-36-34","RS 909-35","SJC 730-79","Masahuat","M",53,NA,NA,NA,"2015-09-25","2015-12-09","No","Yes","plain","A","B","A","B","A","B","A","B",NA,NA,"A","C","A","C","C","A","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_144",33617,"Rodeo","paquete 62","RS 907-28","BRT 103- 182","RRH 336-28","Masahuat","M",19,734.5074463,-89.39975768,14.18737179,"2015-09-25","2015-12-15","No","Yes","medium","B","C","B","C","B","C","B","C",NA,NA,"B","A","A","B","B","A","B","C","Worse","Better","Worse"
"honduras_salvador_rojo_2015_145",33680,"Rodeo","paquete 68","RRH 336-28","SRS2-36-34","RS 909-35","Masahuat","M",31,NA,NA,NA,"2015-09-24","2015-12-20","No","Yes","medium","A","C","A","C",NA,NA,"A","C",NA,NA,"C","A","A","C","B","C","B","C","Worse","Worse","Worse"
"honduras_salvador_rojo_2015_146",33770,"Rodeo","paquete 72","Amadeus 77","RS 909-35","RS 907-28","Masahuat","M",35,NA,NA,NA,"2015-09-25","2015-12-09","No","Yes","medium","C","B","B","A",NA,NA,"C","A","C","A","C","B","C","B","B","C","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_148",33644,"Rodeo","paquete 65","SRS2-36-34","RS 907-28","RRH 336-28","Masahuat","M",42,NA,NA,NA,"2015-09-24","2015-12-17","No","Yes","medium","B","A","B","A","B","A","B","A",NA,NA,"B","C","C","B","B","C","B","A","Worse","Better","Worse"
