id,hhid,adm3,pack,variety_a,variety_b,variety_c,adm1,gender,age,elevation,lon,lat,planting_date,harverst_date,irrigation,fertilization,slope,char_1,best_1,worst_1,char_2,best_2,worst_2,char_3,best_3,worst_3,char_4,best_4,worst_4,char_5,best_5,worst_5,char_6,best_6,worst_6,char_7,best_7,worst_7,char_8,best_8,worst_8,char_9,best_9,worst_9,char_10,local_vs_var_a,local_vs_var_b,local_vs_var_c
guatemala_negro_2015_629,99049,Los Encuentros,paquete 59,ICTA Sayaxche ML,MEN 2201-64 ML,ICTA Peten ML,San Juan Ermita,M,59,NA,-89.43283081,14.76392719,2015-09-13,2015-12-14,No,Yes,medium,vigor,A,C,size,B,C,pest_resistance,NA,NA,disease_resistance,NA,NA,drought_resistance,A,C,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_63,18065,Plan de la Arada,paquete 440,SEQ 342-87 ML,Azabache 40,ICTA Ligero (testigo),Jocotan,F,38,NA,-89.38476563,14.82666378,2015-09-14,2015-11-30,No,Yes,medium,vigor,A,C,size,B,C,pest_resistance,B,A,disease_resistance,A,B,drought_resistance,A,B,yield,C,B,market_value,C,B,taste,C,B,overall,C,A,overall_vs_local,Worse,Worse,Better
guatemala_negro_2015_630,41627,La Majada,paquete 90,MEN 2201-64 ML,ICTA Peten ML,MHN 322-49,San Jacinto,M,NA,NA,-89.49291229,14.67991813,2015-09-26,2015-12-15,No,No,medium,vigor,A,B,size,A,B,pest_resistance,A,C,disease_resistance,A,C,drought_resistance,NA,NA,yield,A,B,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_65,17921,Plan de la Arada,paquete 447,ICTA Vaina Roja,Azabache 40,ICTA Ligero (testigo),Jocotan,F,36,NA,-89.37927246,14.82268105,2015-09-16,2015-12-12,No,Yes,high,vigor,B,A,size,B,A,pest_resistance,B,A,disease_resistance,B,A,drought_resistance,B,A,yield,C,B,market_value,C,B,taste,C,B,overall,C,A,overall_vs_local,Worse,Worse,Better
guatemala_negro_2015_66,18173,Plan de la Arada,paquete 448,SEQ 342-89,MHN 322-49,ICTA Sayaxche ML,Jocotan,F,20,NA,-89.39437866,14.83197399,2015-09-19,2015-11-30,No,Yes,high,vigor,A,C,size,A,C,pest_resistance,A,B,disease_resistance,B,A,drought_resistance,A,C,yield,A,B,market_value,A,B,taste,NA,NA,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_67,18119,Plan de la Arada,paquete 449,ICTAZAM ML,ICTA Peten ML,MEN 2201-64 ML,Jocotan,F,18,NA,-89.39712524,14.82533621,2015-09-17,2015-12-08,No,Yes,high,vigor,B,C,size,B,A,pest_resistance,A,B,disease_resistance,B,A,drought_resistance,A,C,yield,B,A,market_value,B,A,taste,B,A,overall,B,C,overall_vs_local,Worse,Better,Worse
guatemala_negro_2015_68,37208,La Lima,paquete 284,ICTA Vaina Roja,ICTA Peten ML,SEQ 342-87 ML,Camotan,M,42,NA,-89.35043335,14.83462904,2015-09-29,2015-11-24,No,Yes,medium,vigor,A,C,size,A,C,pest_resistance,NA,NA,disease_resistance,NA,NA,drought_resistance,A,C,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_69,37181,La Lima,paquete 283,ICTA Sayaxche ML,MEN 2201-64 ML,SEQ 342-89,Camotan,M,53,NA,-89.34631348,14.84790381,2015-09-17,2015-12-08,No,Yes,plain,vigor,C,A,size,C,A,pest_resistance,C,B,disease_resistance,NA,NA,drought_resistance,C,B,yield,C,A,market_value,C,A,taste,C,A,overall,C,B,overall_vs_local,Better,Worse,Better
guatemala_negro_2015_70,37280,La Lima,paquete 282,ICTA Ligero (testigo),MHN 322-49,ICTAZAM ML,Camotan,M,40,NA,-89.35592651,14.83728406,2015-09-23,2015-12-15,No,No,medium,vigor,A,C,size,A,C,pest_resistance,NA,NA,disease_resistance,NA,NA,drought_resistance,A,B,yield,A,C,market_value,A,C,taste,A,C,overall,A,B,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_72,37343,La Lima,paquete 280,SEQ 342-89,MEN 2201-64 ML,SEQ 342-87 ML,Camotan,M,21,NA,-89.37103271,14.84524892,2015-09-14,2015-12-02,No,No,medium,vigor,A,C,size,A,C,pest_resistance,A,C,disease_resistance,A,C,drought_resistance,NA,NA,yield,A,C,market_value,A,C,taste,A,B,overall,A,B,overall_vs_local,Better,Worse,Worse
